customer_code,source_index,source_id,age_class,gender_class,race_class,output,output_sha256
CUS-DEMO-001,0,val-1,3-9,Male,East Asian,customer_images/CUS-DEMO-001.jpg,14a0b22d6280cad007031336c100589a30e6097c5c57872020d14f89959d813e
CUS-DEMO-002,1,val-2,50-59,Female,East Asian,customer_images/CUS-DEMO-002.jpg,7d85b17bcd4c9e1efb93b74f76a0981377b69d09788648fef61d1d60601f543f
CUS-DEMO-003,2,val-3,30-39,Male,White,customer_images/CUS-DEMO-003.jpg,8e72be96f0faa5ad8c3574d051a3975e833345d69a681f4b4c82c7b2f50849c3
CUS-DEMO-004,3,val-4,20-29,Female,Latino_Hispanic,customer_images/CUS-DEMO-004.jpg,fe67b433b456ed55b0c21a352e999dcafb41d222fe036ea7ebcabf4f14ee7044
CUS-DEMO-005,4,val-5,20-29,Male,Southeast Asian,customer_images/CUS-DEMO-005.jpg,0dc0225aa9b82ee852b849b4c06edb7f3e1dcae7a1283e53fb65b79871b9f331
CUS-DEMO-006,5,val-6,30-39,Male,Latino_Hispanic,customer_images/CUS-DEMO-006.jpg,9a156d57f458a8ff08fe380743043ac93d3a5104db016830ffba5c29f5442ef8
CUS-DEMO-007,6,val-7,20-29,Male,Black,customer_images/CUS-DEMO-007.jpg,17fdf154950c54f17b7b28c6bff1e5efdbb5623e5a7c3a18d57d0d0acb721df5
CUS-DEMO-008,7,val-8,3-9,Male,East Asian,customer_images/CUS-DEMO-008.jpg,c1a0f549752b339e34c12719e3421a17bb234dddad24ee77b38b7d6b0f953048
CUS-DEMO-009,8,val-9,20-29,Male,Southeast Asian,customer_images/CUS-DEMO-009.jpg,a1ba3a38a7ff8ce32906c9193c53ea53fd5cade88aeb2b77167325e108d132e9
CUS-DEMO-010,9,val-10,3-9,Male,Southeast Asian,customer_images/CUS-DEMO-010.jpg,f5aebe06ce59a40e664ee40f2bd392a0686299c379959e1a451bfaa0a8d8d11c
CUS-DEMO-011,10,val-11,more than 70,Female,East Asian,customer_images/CUS-DEMO-011.jpg,f1dc3b2114709fcdbeb3bf592cd0ef1732216e06b84b6f93d6935d85deb92550
CUS-DEMO-012,11,val-12,50-59,Female,East Asian,customer_images/CUS-DEMO-012.jpg,fd4399eb118126a86966bc2c62f4d71280d72f72ce561765b9b25370b712ea9a
CUS-DEMO-013,12,val-13,40-49,Female,Indian,customer_images/CUS-DEMO-013.jpg,bbdd71ef7ffadb21a3d6909a4cee4be55477507cce07f922653e078fda597eaf
